vm_id,timestamp,cpu_usage,memory_usage,network_traffic
vm_1,2025-07-21 00:16:17,12.919079717571812,23.60206229700284,89.63484757644709
vm_1,2025-07-21 01:16:17,16.538603190283787,25.336025131362067,92.42964908201724
vm_1,2025-07-21 02:16:17,21.74948044006278,31.238127406632017,97.95077077268559
vm_1,2025-07-21 03:16:17,25.234366417623693,31.87518421049777,100.94504286363177
vm_1,2025-07-21 04:16:17,25.921676270329485,38.29057357014136,102.16630634173168
vm_1,2025-07-21 05:16:17,34.36981245121649,52.12572396902881,100.26402372902804
vm_1,2025-07-21 06:16:17,40.60449736188346,55.66672134565641,105.38210865909252
vm_1,2025-07-21 07:16:17,48.96531844911556,64.1896095373769,110.71405559558755
vm_1,2025-07-21 08:16:17,56.882533670308504,71.46499055416892,124.25008505500286
vm_1,2025-07-21 09:16:17,62.22087067510671,83.30917889530753,110.3884637179598
vm_1,2025-07-21 10:16:17,63.46269271065546,78.58734019507031,116.5314308794709
vm_1,2025-07-21 11:16:17,67.58218112680193,85.59241593533605,118.70426081378135
vm_1,2025-07-21 12:16:17,63.71845856290801,87.69090229200033,109.56095256933409
vm_1,2025-07-21 13:16:17,64.98100969963316,81.80919532652506,121.58354395087105
vm_1,2025-07-21 14:16:17,57.94563435967785,81.54866118348056,121.03720985990498
vm_1,2025-07-21 15:16:17,51.54929503934648,68.79304824081667,108.59606863244878
vm_1,2025-07-21 16:16:17,52.77019083513144,67.07197959308624,104.90551782409686
vm_1,2025-07-21 17:16:17,40.72387433163599,55.95293589551014,109.47229495130328
vm_1,2025-07-21 18:16:17,35.962230282499384,55.655335671789736,112.59567302129237
vm_1,2025-07-21 19:16:17,24.135587128164776,40.737554998623544,99.22802024444262
vm_1,2025-07-21 20:16:17,16.92186061630452,29.673671109349737,94.41634024723147
vm_1,2025-07-21 21:16:17,20.958939481015825,29.352402668312326,83.85799571924186
vm_1,2025-07-21 22:16:17,11.557048079824956,29.38757405650245,112.15291156450014
vm_1,2025-07-21 23:16:17,16.060046249085556,21.681216317191126,83.06740939359014
vm_1,2025-07-22 00:16:17,16.104320699354215,27.150806791827623,90.47123492654416
vm_1,2025-07-22 01:16:17,17.703383222919953,28.677505864319016,99.93051258866201
vm_1,2025-07-22 02:16:17,19.108724400062616,28.80236595252255,94.86705262248636
vm_1,2025-07-22 03:16:17,22.147853918809155,32.53057765320112,88.23122007332476
vm_1,2025-07-22 04:16:17,29.76989317901083,40.23619321013359,83.14594103338578
vm_1,2025-07-22 05:16:17,34.04394847694838,47.346204325912794,95.89614105047438
vm_1,2025-07-22 06:16:17,48.817124082559125,57.9720827848214,111.02359329582814
vm_1,2025-07-22 07:16:17,44.51015817655231,64.88563402775306,119.78798638881018
vm_1,2025-07-22 08:16:17,53.1119417718469,75.46453372818799,116.44546597989002
vm_1,2025-07-22 09:16:17,60.10814215063863,75.5776076873571,119.55078015016696
vm_1,2025-07-22 10:16:17,62.86055860586241,89.79189376087216,121.44273048564995
vm_1,2025-07-22 11:16:17,72.16838656272004,85.62322362462545,122.81069470915303
vm_1,2025-07-22 12:16:17,63.7609100018692,84.85844683666936,94.22588942406807
vm_1,2025-07-22 13:16:17,60.47883275970013,88.55367192283268,102.49997536930972
vm_1,2025-07-22 14:16:17,58.75297533350709,79.72569292147001,121.42408952321864
vm_1,2025-07-22 15:16:17,59.550994264081574,63.615865900223895,116.73435993757579
vm_1,2025-07-22 16:16:17,52.245263406423966,68.64843877154745,91.7474179716629
vm_1,2025-07-22 17:16:17,43.12058011425442,56.1618412342529,106.94780521556969
vm_1,2025-07-22 18:16:17,36.224804392623,49.02942160836328,90.21549071143714
vm_1,2025-07-22 19:16:17,29.41128758278875,42.975486817383015,108.40729249604883
vm_1,2025-07-22 20:16:17,25.363408751075767,25.852819977806416,118.50185884556069
vm_1,2025-07-22 21:16:17,15.97029753179926,30.17801131458322,88.64272130779321
vm_1,2025-07-22 22:16:17,18.384234978664963,19.69865527087795,94.48717270398957
vm_1,2025-07-22 23:16:17,14.496476218123716,32.214949329170544,96.95156580159671
